index,x,y,z,name,network,
1,0.47059,0.070588,0.50588,7Networks_LH_Vis_1,0,1
2,0.47059,0.070588,0.5098,7Networks_LH_Vis_2,0,3
3,0.47059,0.070588,0.51373,7Networks_LH_Vis_3,0,5
4,0.47059,0.070588,0.51765,7Networks_LH_Vis_4,0,7
5,0.47059,0.070588,0.52157,7Networks_LH_Vis_5,0,9
6,0.47059,0.070588,0.52941,7Networks_LH_Vis_6,0,11
7,0.47059,0.070588,0.53333,7Networks_LH_Vis_7,0,13
8,0.47059,0.070588,0.53725,7Networks_LH_Vis_8,0,15
9,0.47059,0.070588,0.54118,7Networks_LH_Vis_9,0,17
10,0.47059,0.070588,0.5451,7Networks_LH_Vis_10,0,19
11,0.47059,0.070588,0.54902,7Networks_LH_Vis_11,0,21
12,0.47059,0.070588,0.55294,7Networks_LH_Vis_12,0,23
13,0.47059,0.07451,0.52549,7Networks_LH_Vis_13,0,25
14,0.47059,0.07451,0.52941,7Networks_LH_Vis_14,0,27
15,0.27451,0.5098,0.68235,7Networks_LH_SomMot_1,1,29
16,0.27451,0.5098,0.68627,7Networks_LH_SomMot_2,1,31
17,0.27451,0.5098,0.6902,7Networks_LH_SomMot_3,1,33
18,0.27451,0.5098,0.69412,7Networks_LH_SomMot_4,1,35
19,0.27451,0.5098,0.69804,7Networks_LH_SomMot_5,1,37
20,0.27451,0.5098,0.70196,7Networks_LH_SomMot_6,1,39
21,0.27451,0.5098,0.7098,7Networks_LH_SomMot_7,1,41
22,0.27451,0.5098,0.71373,7Networks_LH_SomMot_8,1,43
23,0.27451,0.5098,0.71765,7Networks_LH_SomMot_9,1,45
24,0.27451,0.5098,0.72157,7Networks_LH_SomMot_10,1,47
25,0.27451,0.5098,0.72549,7Networks_LH_SomMot_11,1,49
26,0.27451,0.5098,0.72941,7Networks_LH_SomMot_12,1,51
27,0.27451,0.5098,0.73333,7Networks_LH_SomMot_13,1,53
28,0.27451,0.51373,0.70588,7Networks_LH_SomMot_14,1,55
29,0.27451,0.51373,0.7098,7Networks_LH_SomMot_15,1,57
30,0.27451,0.51373,0.71373,7Networks_LH_SomMot_16,1,59
31,0,0.46275,0.043137,7Networks_LH_DorsAttn_Post_1,2,61
