fold,r,MSE,p_value
0,"[0.6488477125107205, 0.6348244349198303, 0.6602310934275806, 0.6389743769738825, 0.60993726293805, 0.5987874028354034, 0.4581685443488957, 0.35241662789735356]","[0.5047775714274869, 0.6770891600674184, 0.6487600863459038, 0.630274309618207, 0.673413388327019, 0.6836456049528672, 0.7925916197636081, 1.2798520759028922]","[2.9816260567097726e-34, 1.9897096416973623e-32, 8.342893258160506e-36, 5.871633938326039e-33, 2.0645519344697206e-29, 3.814763984444416e-28, 1.1191825875798462e-15, 1.838001295777499e-09]"
1,"[0.6151455883446503, 0.618409622138463, 0.6391551530996505, 0.5629441462238509, 0.6101119503356045, 0.6071875622551016, 0.4615829243345632, 0.46308870477647646]","[0.73915974441248, 0.6305129015866008, 0.621598961893049, 0.7618900356099672, 0.5720925601183079, 0.8030185247498676, 0.8610678667277502, 0.7011476959249537]","[1.6211513500319175e-32, 6.14407243179005e-33, 9.787830610478357e-36, 2.1477986334565784e-26, 7.080699016938312e-32, 1.6474485114981156e-31, 3.492740719453826e-17, 2.6766044364337937e-17]"
2,"[0.5391205706307102, 0.5711285061030673, 0.610942910899168, 0.5407237762965009, 0.5943335962300698, 0.4534159500893844, 0.29184293365292413, 0.39138591407946033]","[0.7010516384594249, 0.503335349011374, 0.5140928318819782, 0.7533605980060812, 0.49962210345590125, 0.792452466336118, 0.9841723296314019, 0.7092345854236699]","[2.5487456498108022e-24, 1.0263903675272384e-27, 1.7152426416178425e-32, 1.7571983746086182e-24, 2.0321381301806348e-30, 8.068678522103826e-17, 2.2104282472445134e-07, 1.4375814377037662e-12]"
3,"[0.5515641571923766, 0.5510931305232896, 0.5762031915401444, 0.5380726820327103, 0.5301296701802137, 0.4903556583253687, 0.4134872320086493, 0.21006008126473813]","[0.8651533497789312, 0.7048956065809748, 0.6992393086465212, 0.7895441260542376, 0.7378559549400411, 0.7898717484019314, 0.8738566458982638, 1.3896184022263536]","[1.3481899203233832e-25, 1.5102501041855094e-25, 2.7442609180483396e-28, 3.246566478109295e-24, 1.9781473780658928e-23, 8.526880661672105e-20, 5.526067184976914e-14, 0.00022542665916377888]"
4,"[0.5946251000985547, 0.6455279466909852, 0.6481640396389573, 0.5607699663267192, 0.5256558969481976, 0.48950032038381214, 0.3351935974977296, 0.4320338873740475]","[0.5186831983454329, 0.4885910424813905, 0.5059083348911583, 0.700751434366024, 0.5726290312144308, 0.7877514934867292, 1.0313864128297834, 0.7854874098872469]","[4.065856789257209e-29, 1.404901838590585e-35, 6.014419177051369e-36, 2.033900597814647e-25, 5.278874656895433e-22, 7.025524482813935e-19, 4.807596827283323e-09, 1.2875199952571774e-14]"
5,"[0.6023269728491039, 0.6295077385197722, 0.6575698073921342, 0.6080601098111845, 0.5841044788910438, 0.5458529019500429, 0.3466948403119093, 0.409118905228589]","[0.6460596233078612, 0.6662604090310673, 0.5925179762580325, 0.6397919995186259, 0.6911860095266094, 0.6889240050786096, 0.964417060142785, 0.6498499246888204]","[1.2192759647046865e-28, 7.17422617222085e-32, 1.4678989087939029e-35, 2.694999758039023e-29, 1.2145499756066514e-26, 7.832958915019108e-23, 3.2558296898020437e-09, 1.4610119153782296e-12]"
6,"[0.5998240797022327, 0.5825662652457536, 0.6045448162204539, 0.5165585219013238, 0.6291849918349856, 0.5422803840841914, 0.2861565207200495, 0.31220266549115894]","[0.9493342826983627, 0.9440401333955333, 0.8393449997810563, 0.7857956250056937, 0.8482359925835319, 0.6274241572462946, 0.9255189112426883, 0.9535922170687119]","[2.9227051628875754e-28, 2.178679653237132e-26, 8.582974672391978e-29, 3.684050946000981e-20, 1.014463711466683e-31, 2.002880890721782e-22, 1.3998340947884563e-06, 1.2472117819071408e-07]"
7,"[0.5648514519089544, 0.6398429026574893, 0.6616129298929104, 0.5806740410182434, 0.5110337619198093, 0.6501231011955861, 0.4761279062543096, 0.3642647429757381]","[0.7556291823821477, 0.6589065673098745, 0.6037543278495361, 0.623585195955965, 0.978743108774274, 0.6488901110050939, 0.7829175243073382, 0.8128352588678504]","[9.777681658203776e-24, 6.431807926083427e-32, 9.69284838152263e-35, 2.740139994394251e-25, 4.935201599086955e-19, 3.195951090138279e-33, 2.1199736580787344e-16, 9.772681868224528e-10]"
8,"[0.6326059723162243, 0.6608553495721045, 0.6846186271975455, 0.6439214353709851, 0.5954653194048469, 0.5192774277210296, 0.3979416329149539, 0.3384343192840086]","[0.5553712067554591, 0.6083660227554508, 0.5623460174643987, 0.6182951632902925, 0.7372869358806731, 0.7572924845543424, 0.8814892054397266, 1.3649516577414207]","[1.0470608434422009e-32, 1.6109241885889356e-36, 4.616035680408325e-40, 3.474311857837241e-34, 2.951795246414494e-28, 9.792990762138079e-21, 4.619145777222609e-12, 6.243442085024621e-09]"
9,"[0.6125750148403402, 0.551365831614465, 0.5617559508791845, 0.5066593045081297, 0.5244299238576321, 0.4678795877956409, 0.38939703924916397, 0.4165433677818657]","[0.5216241426601155, 0.7312701444669951, 0.7063708745367614, 0.7376255900053739, 0.7597935555752198, 0.8028986821611713, 0.8185581504016505, 0.6523758473327695]","[1.128741025878914e-31, 8.803939227365539e-25, 7.485910993462634e-26, 1.4113516841843197e-20, 3.567699956374897e-22, 2.1275172809083105e-17, 4.405827456280242e-12, 9.104525905567057e-14]"
