fold,r,MSE,p_value
0,"[0.6875156554123814, 0.6749358171689829, 0.6898535990556064, 0.6475959734292824, 0.618676703956478, 0.6109735005048094, 0.5142206897314214, 0.40511988966088874]","[0.4300625017250259, 0.6015296346788259, 0.5857239251973284, 0.5999829534694574, 0.6432866276325976, 0.6382948335301664, 0.7106763430415646, 1.1832187125436369]","[8.087572526336557e-40, 6.484341962908304e-38, 3.493350646677476e-40, 4.377219336782096e-34, 1.9336734353235788e-30, 1.5651327518417855e-29, 5.791236246375279e-20, 2.7584827107820805e-12]"
1,"[0.6450894127616361, 0.6532500759153971, 0.6657288960061627, 0.5842706749760862, 0.6222381750797874, 0.6249088980612876, 0.500394806349602, 0.5122126313601372]","[0.690798252177677, 0.5421547587879683, 0.5477547570348773, 0.6922908136757528, 0.522623865744847, 0.765095323787512, 0.7838947239778004, 0.6214418746466388]","[1.4137359382061859e-36, 9.202235802914006e-38, 1.1940190281783552e-39, 9.201736458349899e-29, 1.9403219412984645e-33, 8.601206071217179e-34, 2.3673581884581844e-20, 2.1208013615931162e-21]"
2,"[0.5538479266158155, 0.6200215340452051, 0.6490928178993718, 0.5982043404689165, 0.6244005522077039, 0.5151329963920437, 0.4107806112802545, 0.5180296641660058]","[0.6373395620378381, 0.4120712799737812, 0.4405225793129026, 0.6539674329071017, 0.42955617075345004, 0.6901247054400743, 0.8029580175863623, 0.5622887685396747]","[7.755700709743595e-26, 1.1172683989342743e-33, 9.44866812592933e-38, 6.846521458937182e-31, 2.897577872412896e-34, 5.282867407272723e-22, 8.344600449934018e-14, 2.836588098587023e-22]"
3,"[0.5451963071193103, 0.5875309986877106, 0.5988165913539338, 0.5497584475975433, 0.5504561766795982, 0.5674758686628492, 0.5024079098243227, 0.2777353612151847]","[0.8206673145640035, 0.5878490684839272, 0.6003535382901414, 0.7131742529421806, 0.6534056713318129, 0.6361837145963767, 0.7607000634496175, 1.2471575844098903]","[6.161175618858569e-25, 1.327455562890424e-29, 5.756350922205854e-31, 2.081202445192244e-25, 1.7603082134464179e-25, 2.6155568424282094e-27, 7.57265047490459e-21, 8.66954969135135e-07]"
4,"[0.6470424665603768, 0.6828215732380815, 0.7116589892708507, 0.6444982817393242, 0.5498959433254837, 0.5983512371706543, 0.4920571557872571, 0.5654792268079744]","[0.4519573505623096, 0.44490336749448106, 0.4236311408428878, 0.5785096001442533, 0.5419311288141175, 0.6456955205103827, 0.8596841315558751, 0.664472714336038]","[8.637799573595184e-36, 3.741692685760738e-41, 4.5368536255968e-46, 1.9524528967058487e-35, 2.563447997793582e-24, 1.49606909812669e-29, 4.34237230345614e-19, 6.592516121093461e-26]"
5,"[0.6514791537888512, 0.6714941806667316, 0.683815085318815, 0.6161158026407114, 0.6450254671039726, 0.5565005428992166, 0.42387946927934894, 0.47490661576111587]","[0.5720676767544997, 0.608677177534654, 0.5527079016825934, 0.6175887379314582, 0.6029841858862004, 0.6595738524580954, 0.8592583867474246, 0.5635594511225636]","[1.0014141853703132e-34, 1.532843668343728e-37, 2.1888976905085853e-39, 3.0664271343632115e-30, 7.3042562509412265e-34, 7.630757981496458e-24, 1.83940226868531e-13, 6.222443422903466e-17]"
6,"[0.5702282869677351, 0.5426037562014848, 0.5605822920521946, 0.4740950475236828, 0.5921659461301206, 0.4985268063547446, 0.34413714330675715, 0.35409451302322364]","[1.007453222526967, 1.0191101003263563, 0.915076035278812, 0.8128860653389176, 0.9331041810294747, 0.6692102348424948, 0.8272673142743774, 0.8478695868056031]","[4.0745443740308037e-25, 1.8704002141775874e-22, 3.697073222261533e-24, 8.126032235481229e-17, 2.0442947600956983e-27, 1.1044387617424814e-18, 4.604719766620209e-09, 1.5208828850880558e-09]"
7,"[0.611502898754102, 0.6504583775695328, 0.6693458456226742, 0.6199095901905856, 0.5473746574706486, 0.6327022925200909, 0.43300300298843375, 0.4536015344367764]","[0.6543152299538596, 0.6329951220838975, 0.5816209850962494, 0.5430245763621379, 0.9025397334211711, 0.6633123645484952, 0.8059118753743965, 0.6864636950585981]","[1.4382373891243927e-28, 2.8922104294743856e-33, 8.441554916553711e-36, 1.5841615722543293e-29, 4.0830117757376425e-22, 4.842780816718987e-31, 1.5509117028092097e-13, 7.46146686145815e-15]"
8,"[0.6733565846831965, 0.6856558725923902, 0.6978325895278709, 0.6498454486717227, 0.6434077169056839, 0.5392676736356772, 0.47739614843358325, 0.40812721753921766]","[0.48508516432795523, 0.5717991903512402, 0.538877663535927, 0.6021880124261372, 0.6676264236332365, 0.7056882209905585, 0.7804877791157087, 1.254271243300667]","[2.4238514953622724e-38, 3.176239556469216e-40, 3.4991507157054414e-42, 5.512425068141938e-35, 4.067911543299449e-34, 1.5850846935333865e-22, 2.4077572180783195e-17, 1.1541290448761938e-12]"
9,"[0.6013424245444221, 0.5671343892512768, 0.5893938999001532, 0.5692804674586062, 0.5357732553673666, 0.5430430288224796, 0.39910965853220126, 0.4555800643620342]","[0.5247238251872534, 0.6910342121258138, 0.6561956500042606, 0.6557118969463134, 0.737912917730493, 0.699222344732381, 0.7881660168911516, 0.6114443351461674]","[2.6883300063037032e-30, 2.0192515498372345e-26, 6.849388506763474e-29, 1.189082244517875e-26, 3.038507830601761e-23, 5.964407999962632e-24, 1.1448983976894547e-12, 1.7967205985561037e-16]"
