fold,r,MSE,p_value
0,"[0.6882119549525199, 0.6694830427782552, 0.6878740228174207, 0.6577518049453482, 0.6192724003191957, 0.6051582423868529, 0.5196823000056089, 0.40104957540733005]","[0.4309127975774452, 0.6103213297472335, 0.5897996072056995, 0.5877890098107222, 0.6455066684873222, 0.6495591793670339, 0.7060649655884645, 1.1870770050445534]","[6.303746388616417e-40, 4.0568534806603104e-37, 7.1147308896019275e-40, 1.842188772396306e-35, 1.6409856330282204e-30, 7.308651683154789e-29, 2.0020027885841073e-20, 4.754853569905109e-12]"
1,"[0.6687978666440277, 0.6712304948458823, 0.6886376801481513, 0.6107291842717489, 0.6365493525646099, 0.6489903797811496, 0.5316239823303035, 0.5485015393778004]","[0.6522425710333061, 0.5244898836397521, 0.5226149736339208, 0.6656832167460545, 0.5139752687391329, 0.7232682253098667, 0.7504253071276803, 0.5894360129940226]","[3.971079024416497e-40, 1.6438453440411416e-40, 2.3162497017003383e-43, 5.918115178589531e-32, 2.258804070798141e-35, 3.87034529615954e-37, 3.2687403975597955e-23, 6.934915575946871e-25]"
2,"[0.5528752832248768, 0.6064835203008048, 0.6320057146333906, 0.5704190056183986, 0.5916544475940086, 0.4954168016342576, 0.36548015404258927, 0.4819488326598433]","[0.6451973440924906, 0.43730401692291604, 0.46787233470649936, 0.6901920738703576, 0.4627837004755265, 0.7219643214547303, 0.8557524369717227, 0.5926526674604936]","[9.820113184994719e-26, 6.354118984757958e-32, 2.640638921547995e-35, 1.232027641200163e-27, 4.2782351773302875e-30, 3.120833741826302e-20, 4.8664667358808515e-11, 4.365772010926355e-19]"
3,"[0.5838592006326764, 0.5970820174378564, 0.627328451402098, 0.612294041140801, 0.5893829012827998, 0.601805448842199, 0.531356291795302, 0.27092925407721985]","[0.7720928347820154, 0.5900639825290889, 0.5773917299922152, 0.6407094316739734, 0.6109338699755756, 0.6030279567876032, 0.7290102211395741, 1.2717308330839308]","[3.589518938664648e-29, 9.399956190849085e-31, 1.161254424316139e-34, 1.1487409165994036e-32, 7.99900683847924e-30, 2.455314841948947e-31, 1.501091391434836e-23, 1.6322949975967178e-06]"
4,"[0.6272984753185694, 0.6901831545479711, 0.7162736571405096, 0.6447216549653447, 0.5579126373816012, 0.5821011000419872, 0.4625610060163582, 0.5760761351419943]","[0.4743115716905101, 0.4365743992687396, 0.4169658908202939, 0.574675899803784, 0.5391065941081113, 0.6637633106831127, 0.8838220825233838, 0.6451475886680036]","[3.975592026019805e-33, 2.359707224977594e-42, 6.507139925461732e-47, 1.8181064692312964e-35, 3.994113177709578e-25, 1.0665466051866693e-27, 8.81403542334755e-17, 4.8864181619071344e-27]"
5,"[0.6568569796784334, 0.6609394553601784, 0.682570094040437, 0.631305519285747, 0.6565524615141534, 0.6000484284441139, 0.44397467282798153, 0.5124499868082159]","[0.5649445234941234, 0.618255751931875, 0.5524198537406186, 0.5987569804665659, 0.5865391217351891, 0.6109277921032454, 0.8402615209502198, 0.5357134694628309]","[1.8420204001394808e-35, 4.9768677885842414e-36, 3.3947940785779935e-39, 4.2731850277249436e-32, 2.0292419318723e-35, 2.2028359990163596e-28, 9.26272418255245e-15, 6.976402771273508e-20]"
6,"[0.5970394492262883, 0.586308881165837, 0.6086482752237845, 0.5320880472241009, 0.6382251073914925, 0.534066921594594, 0.3960192629038879, 0.3642784403766884]","[0.963393262202301, 0.9495379162401377, 0.8403182290128284, 0.7502479514462767, 0.8605501088081773, 0.6407204422921866, 0.7894413038112239, 0.8475973750845145]","[5.964482292901963e-28, 8.741773408546707e-27, 2.9095145313944895e-29, 1.6680133423808995e-21, 7.329204455908977e-33, 1.111488258844359e-21, 9.224868509595264e-12, 4.703837372407722e-10]"
7,"[0.604007864457248, 0.6788185894867272, 0.6898132520063195, 0.6130075737400258, 0.5425316499031843, 0.6292526085864031, 0.4607207962404709, 0.45445651173231655]","[0.6712185406196998, 0.5902157726074586, 0.5542380558082333, 0.5671779796451338, 0.913257280870928, 0.6670821053206119, 0.7864434630432142, 0.6934350490917011]","[9.73049928052953e-28, 3.83329181686597e-37, 9.125935629172385e-39, 9.73786842518644e-29, 1.1054526600434524e-21, 1.2603974492293658e-30, 2.4906569956037274e-15, 6.549117278792037e-15]"
8,"[0.6849819551326699, 0.7202064804840349, 0.7292234873439705, 0.6791114172443086, 0.6500471697835025, 0.5630083951173274, 0.4813294772266673, 0.4377709730161763]","[0.4746934850009297, 0.519119027747486, 0.49268117288824254, 0.5637814423542029, 0.6537558431167784, 0.6821637379867403, 0.7784630775211303, 1.219324243400229]","[4.050194634849603e-40, 4.750907375837608e-46, 1.0222223943758566e-47, 3.2740684893809496e-39, 5.173728570532539e-35, 8.167962939345411e-25, 1.2094642631041949e-17, 1.5444697920439848e-14]"
9,"[0.6141911162365726, 0.5523390574710725, 0.5826990439692351, 0.5744746655891011, 0.5372879072264203, 0.5273811459350344, 0.37960862338923823, 0.46563414248835233]","[0.5131994848808291, 0.7146712647505011, 0.6695391037619483, 0.6518631005452096, 0.7389407093060677, 0.7189892515387137, 0.8117833095396528, 0.6054065241878209]","[7.078405094429116e-32, 7.014453291635036e-25, 3.9661749971281213e-28, 3.2477094478927406e-27, 2.1714380135899914e-23, 1.89642272772209e-22, 1.6395695635365428e-11, 3.1610680759185213e-17]"
